warps,stage_k,ilp,gflops
1,16,1,30548.5
27359
31529.1
1,16,2,25877.4
20862
33517.6
1,32,1,34635
34516.9
57494.4
1,32,2,20540.6
44026.7
52186.9
2,16,1,21418.9
21453.6
26176.4
2,16,2,20814.6
17911.2
27010.5
2,32,1,24047
33854.1
50891.6
2,32,2,37395.7
37129.7
54058.5
4,16,1,19844.6
15309.4
26682.7
4,16,2,11935.2
15245.4
24756.6
4,32,1,54474.2
30567.6
49545.8
4,32,2,58498
42807.2
51456.7
